"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 JG17)","2016-May-31 16:03 ±","16.16/0.04153","16.15/0.04150","10.18","10.17","2.78e+03","25.5","8","APO*"
"(2016 LV)","2016-Jun-01 23:43 ±","3.61/0.00927","3.61/0.00927","10.36","10.33","3.09e+03","23.1","13","APO*"
"(2016 LB)","2016-Jun-03 09:07 ±","5.50/0.01413","5.50/0.01412","16.73","16.72","2.73e+03","22.8","8","APO*"
"(2016 LG10)","2016-Jun-03 10:09 ±","1.86/0.00479","1.86/0.00478","8.65","8.58","2.86e+03","25.6","11","APO*"
"(2016 JB29)","2016-Jun-04 23:15 ±","12.06/0.03100","12.06/0.03100","9.24","9.23","6.37e+04","24.7","41","APO*"
"(2016 LR51)","2016-Jun-05 04:30 ±","0.91/0.00235","0.90/0.00232","11.48","11.38","191","27.4","1","APO*"
"(2016 KR)","2016-Jun-05 23:01 ±","9.88/0.02538","9.84/0.02529","12.89","12.88","592","25.4","7","APO*"
"(2016 LO)","2016-Jun-06 05:51 ±","19.36/0.04974","19.34/0.04969","5.63","5.62","1.7e+03","25.1","10","AMO*"
"(2016 LG)","2016-Jun-06 12:05 ±","2.94/0.00756","2.94/0.00756","6.13","6.08","1.17e+06","25.3","28","APO*"
"(2016 LQ1)","2016-Jun-06 23:32 ±","15.72/0.04038","15.64/0.04018","6.03","6.02","326","25.5","4","AMO*"
"(2016 LT1)","2016-Jun-07 20:25 ±","0.38/0.00097","0.38/0.00097","7.48","7.10","1.04e+04","29.0","5","APO*"
"(2016 JV)","2016-Jun-08 11:27 ±","16.41/0.04216","16.40/0.04213","7.49","7.49","2.18e+03","24.9","9","AMO*"
"(2016 LO48)","2016-Jun-08 20:35 ±","8.34/0.02143","8.34/0.02143","6.16","6.14","6.75e+05","25.4","13","AMO*"
"(2016 LR)","2016-Jun-09 02:29 ±","5.89/0.01512","5.87/0.01508","12.31","12.30","677","26.4","6","APO*"
"(2016 LE10)","2016-Jun-09 08:43 ±","1.18/0.00304","1.18/0.00304","12.20","12.13","1.25e+03","27.1","3","APO*"
"(2016 LP10)","2016-Jun-09 18:32 ±","0.19/0.00048","0.19/0.00048","15.91","15.56","370","29.3","2","APO*"
"(2016 LY10)","2016-Jun-10 02:55 ±","1.81/0.00466","1.81/0.00466","6.94","6.85","5.4e+03","28.5","3","APO*"
"(2016 KL)","2016-Jun-11 00:12 ±","5.75/0.01477","5.74/0.01475","9.01","8.99","1.49e+03","25.8","12","APO*"
"(2016 MH3)","2016-Jun-11 09:51 ±   04:28","8.73/0.02243","8.10/0.02081","5.24","5.21","53.3","27.0","1","ATE*"
"(2016 LA49)","2016-Jun-12 01:51 ±","1.47/0.00377","1.47/0.00377","5.03","4.88","1.97e+03","27.5","6","APO*"
"(2016 LT10)","2016-Jun-12 14:58 ±","7.42/0.01907","7.41/0.01904","4.68","4.65","1.1e+03","26.9","5","APO*"
"(2015 XZ378)","2016-Jun-13 04:38 ±   00:12","9.73/0.02501","9.67/0.02484","1.64","1.57","608","27.2","6","APO*"
"(2016 LJ8)","2016-Jun-13 07:39 ±","6.39/0.01642","6.36/0.01635","9.07","9.05","461","25.2","7","APO*"
"(2016 LG49)","2016-Jun-15 20:24 ±","15.11/0.03884","15.07/0.03872","17.38","17.37","766","22.4","15","APO*"
"(2016 LK49)","2016-Jun-16 16:17 ±","3.22/0.00828","3.21/0.00826","19.98","19.97","1.19e+03","26.0","5","APO*"
"(2016 LY8)","2016-Jun-18 13:12 ±","13.33/0.03426","13.33/0.03426","10.03","10.02","2.27e+04","23.2","16","APO*"
"(2016 MA)","2016-Jun-19 04:34 ±","2.60/0.00668","2.60/0.00667","8.87","8.83","1.32e+03","27.5","2","APO*"
"(2016 LV51)","2016-Jun-19 23:50 ±","17.21/0.04423","17.10/0.04394","10.89","10.89","307","25.3","2","APO*"
"(2009 CV)","2016-Jun-20 01:31 ±","12.40/0.03186","12.40/0.03186","4.69","4.67","9.23e+05","24.3","29","APO*"
"(2004 TE10)","2016-Jun-20 13:15 ±","17.66/0.04537","17.66/0.04537","14.05","14.05","7.44e+04","24.0","12","APO*"
"441987 (2010 NY65)","2016-Jun-24 10:30 ±","10.71/0.02753","10.71/0.02753","12.95","12.95","7.37e+07","21.5","67","ATE*"
"(2016 NA)","2016-Jul-01 16:56 ±","1.26/0.00323","1.26/0.00323","7.49","7.38","3.73e+03","26.9","3","APO*"
"(2016 NC56)","2016-Jul-06 06:50 ±   00:01","3.29/0.00845","3.28/0.00842","14.64","14.62","660","27.3","1","APO*"
"(2016 NO56)","2016-Jul-06 20:59 ±","1.90/0.00489","1.90/0.00488","12.11","12.07","829","25.7","1","APO*"
"(2016 NL39)","2016-Jul-06 21:28 ±","3.61/0.00927","3.60/0.00926","4.28","4.22","2.57e+03","27.6","20","APO*"
"(2016 NM15)","2016-Jul-06 21:39 ±   00:01","6.30/0.01618","6.29/0.01616","3.20","3.15","1.46e+03","27.5","2","AMO*"
"(2016 NL22)","2016-Jul-07 00:14 ±","8.47/0.02178","8.44/0.02169","10.62","10.61","518","24.7","4","APO*"
"(2016 NJ22)","2016-Jul-07 10:14 ±","0.74/0.00191","0.74/0.00191","7.00","6.79","2.78e+03","28.4","2","ATE*"
"(2016 MO)","2016-Jul-07 13:22 ±","6.64/0.01706","6.63/0.01702","7.72","7.70","816","24.8","7","APO*"
"(2016 NB56)","2016-Jul-08 04:14 ±   00:02","7.33/0.01884","7.21/0.01853","17.58","17.57","757","24.3","1","APO*"
"(2016 NN15)","2016-Jul-08 06:02 ±","4.31/0.01108","4.31/0.01108","7.94","7.91","3.65e+04","26.8","6","AMO*"
"(2016 ND1)","2016-Jul-10 03:26 ±","10.43/0.02679","10.43/0.02679","5.08","5.06","9.14e+04","25.3","10","APO*"
"(2016 NK22)","2016-Jul-11 13:15 ±","0.69/0.00177","0.69/0.00177","7.12","6.90","2.64e+03","29.0","3","APO*"
"(2016 NJ33)","2016-Jul-11 23:20 ±","14.86/0.03819","14.86/0.03819","4.47","4.46","1.96e+04","25.2","11","AMO*"
"(2016 OF)","2016-Jul-12 08:33 ±","8.99/0.02309","8.99/0.02309","9.06","9.05","1.19e+04","23.1","9","APO*"
"(2016 NC1)","2016-Jul-13 00:34 ±","7.28/0.01870","7.27/0.01867","4.45","4.42","1.35e+03","25.3","3","ATE*"
"(2016 NG38)","2016-Jul-14 09:57 ±","11.48/0.02950","11.46/0.02944","7.06","7.05","788","25.1","4","AMO*"
"(2016 PQ26)","2016-Jul-15 21:55 ±   00:36","6.40/0.01644","6.33/0.01625","13.48","13.47","229","24.0","1","APO*"
"(2016 NK33)","2016-Jul-16 01:16 ±   00:02","11.32/0.02910","10.92/0.02807","9.60","9.59","53.5","25.9","1","APO*"
"(2016 ND39)","2016-Jul-16 16:46 ±","4.86/0.01248","4.86/0.01248","13.58","13.57","1.97e+05","25.2","5","APO*"
"(2016 NE56)","2016-Jul-16 22:28 ±","13.58/0.03490","13.37/0.03437","12.16","12.15","134","24.9","1","APO*"
"(2016 QX10)","2016-Jul-17 06:03 ±   00:03","17.90/0.04599","17.88/0.04595","5.42","5.41","3.19e+03","23.7","5","APO*"
"(2016 OA)","2016-Jul-18 08:15 ±","4.51/0.01159","4.50/0.01155","17.63","17.61","696","25.4","2","APO*"
"(2016 MK)","2016-Jul-18 12:53 ±","17.12/0.04399","17.10/0.04395","8.78","8.77","1.91e+03","23.1","13","AMO*"
"(2016 NS)","2016-Jul-20 17:41 ±","8.69/0.02234","8.68/0.02231","5.02","4.99","1.14e+03","25.4","10","AMO*"
"(2014 BT8)","2016-Jul-21 16:37 ±   01:41","18.58/0.04775","18.40/0.04727","6.93","6.92","1.53e+04","25.0","7","ATE*"
"(2016 PE8)","2016-Jul-22 06:41 ±   00:10","8.94/0.02298","8.63/0.02217","9.68","9.67","106","26.6","1","APO*"
"(2016 NJ39)","2016-Jul-22 14:26 ±","11.53/0.02963","11.41/0.02933","10.36","10.35","190","25.1","4","APO*"
"(2016 PP38)","2016-Jul-22 22:54 ±   00:25","10.24/0.02630","9.99/0.02567","5.70","5.68","109","26.7","2","AMO*"
"(2016 PM38)","2016-Jul-24 23:20 ±   00:05","18.63/0.04786","18.43/0.04736","9.35","9.35","218","26.0","2","AMO*"
"(2016 NW15)","2016-Jul-26 00:22 ±","13.77/0.03537","13.66/0.03510","7.04","7.03","229","25.1","4","AMO*"
"(2016 NE39)","2016-Jul-26 12:25 ±   00:04","6.65/0.01709","6.56/0.01686","18.29","18.28","180","23.5","2","APO*"
"(2016 PN39)","2016-Jul-29 11:37 ±","6.17/0.01586","6.17/0.01585","10.02","10.01","5.58e+03","25.6","3","APO*"
"(2016 NX22)","2016-Aug-02 11:32 ±","12.98/0.03335","12.96/0.03331","9.52","9.51","1.8e+03","23.9","12","AMO*"
"(2005 OH3)","2016-Aug-03 07:13 ± 2_08:01","5.84/0.01502","5.26/0.01352","3.53","3.48","2.42e+05","26.0","9","AMO*"
"(2016 PP27)","2016-Aug-04 01:41 ±","9.92/0.02549","9.90/0.02544","10.89","10.88","926","23.6","6","APO*"
"(2016 PQ)","2016-Aug-07 06:21 ±","9.81/0.02520","9.79/0.02516","12.74","12.73","1.49e+03","25.9","7","APO*"
"(2016 OV)","2016-Aug-07 10:42 ±","9.04/0.02323","9.01/0.02316","12.47","12.46","776","24.6","8","APO*"
"(2016 QY1)","2016-Aug-10 03:14 ±   00:02","7.25/0.01863","7.23/0.01858","12.32","12.31","988","23.3","9","APO*"
"(2016 PX8)","2016-Aug-11 08:34 ±","7.60/0.01953","7.52/0.01933","9.84","9.83","190","27.0","2","APO*"
"(2016 PW8)","2016-Aug-12 03:37 ±","6.13/0.01575","6.12/0.01572","14.14","14.13","1.11e+03","26.1","4","APO*"
"(2016 RZ)","2016-Aug-25 09:26 ±","10.73/0.02757","10.71/0.02752","4.33","4.31","1.4e+03","26.7","4","ATE*"
"(2016 PS26)","2016-Aug-25 11:23 ±","13.78/0.03541","13.67/0.03512","11.62","11.62","248","25.4","4","APO*"
"(2016 RC18)","2016-Aug-27 14:30 ±","17.46/0.04488","17.41/0.04473","7.17","7.16","739","26.1","5","AMO*"
"(2016 QA2)","2016-Aug-28 01:26 ±","0.23/0.00058","0.23/0.00058","10.27","9.81","7.96e+04","25.1","4","ATE*"
"(2016 PA40)","2016-Aug-29 19:12 ±","14.48/0.03721","14.45/0.03713","9.20","9.19","955","24.4","11","APO*"
"(2016 QD84)","2016-Aug-30 16:29 ±","15.48/0.03978","15.44/0.03968","9.19","9.19","729","25.1","3","AMO*"
"(2016 RX)","2016-Aug-30 17:27 ±","12.40/0.03187","12.37/0.03179","22.27","22.27","1.01e+03","25.9","8","APO*"
"(2016 RD18)","2016-Aug-31 11:15 ±","12.32/0.03165","12.26/0.03150","8.20","8.19","399","26.5","3","AMO*"
"(2016 RV19)","2016-Aug-31 12:54 ±","15.55/0.03995","15.53/0.03990","6.60","6.59","1.55e+03","25.3","4","AMO*"
"(2016 RJ40)","2016-Aug-31 19:38 ±   00:01","14.38/0.03694","14.28/0.03669","7.21","7.20","465","25.2","2","AMO*"
"(2016 QB11)","2016-Aug-31 20:57 ±","3.45/0.00886","3.44/0.00884","22.64","22.62","1.18e+03","25.8","4","APO*"
"(2016 RK17)","2016-Aug-31 23:00 ±","19.18/0.04927","19.10/0.04907","8.64","8.63","441","25.3","6","AMO*"
"(2016 RM17)","2016-Sep-01 12:37 ±","6.26/0.01610","6.24/0.01603","6.35","6.32","429","27.6","3","APO*"
"(2016 RP17)","2016-Sep-01 15:35 ±","8.40/0.02158","8.38/0.02153","19.34","19.34","1.27e+03","24.5","13","APO*"
"(2016 RA34)","2016-Sep-01 16:14 ±","11.02/0.02831","11.00/0.02827","8.87","8.86","1.67e+03","24.5","5","ATE*"
"(2016 RR1)","2016-Sep-02 16:15 ±","0.34/0.00086","0.34/0.00086","7.22","6.78","1.45e+03","28.0","10","APO*"
"(2016 RB34)","2016-Sep-03 00:17 ±   00:01","14.73/0.03786","14.67/0.03769","5.15","5.14","359","25.0","7","APO*"
"(2016 RS1)","2016-Sep-03 00:30 ±","0.50/0.00127","0.49/0.00127","7.11","6.81","388","29.2","1","APO*"
"(2016 RU1)","2016-Sep-03 15:45 ±","4.09/0.01051","4.08/0.01049","10.21","10.19","1.07e+03","27.6","5","APO*"
"(2016 RW1)","2016-Sep-03 20:19 ±","7.70/0.01978","7.68/0.01972","7.50","7.49","586","27.0","3","AMO*"
"(2016 RL40)","2016-Sep-04 00:55 ±   00:02","11.76/0.03021","11.54/0.02965","12.20","12.19","113","25.6","1","APO*"
"(2016 RR19)","2016-Sep-04 09:58 ±","1.86/0.00477","1.85/0.00474","10.65","10.60","368","28.6","1","APO*"
"(2016 RV33)","2016-Sep-05 00:16 ±","8.60/0.02210","8.55/0.02196","8.53","8.52","295","26.6","2","APO*"
"(2016 PD2)","2016-Sep-05 14:27 ±","18.74/0.04816","18.72/0.04810","6.70","6.69","1.35e+03","24.6","7","APO*"
"477162 (2009 ES)","2016-Sep-05 19:25 ±","18.83/0.04838","18.83/0.04838","18.06","18.06","8.66e+05","20.6","38","APO*"
"(2016 RP40)","2016-Sep-05 23:26 ±","16.09/0.04134","15.97/0.04103","9.59","9.58","261","24.8","4","APO*"
"(2016 PR39)","2016-Sep-06 08:38 ±   00:06","18.45/0.04741","17.84/0.04584","11.01","11.01","225","24.0","2","APO*"
"(2016 RZ17)","2016-Sep-07 00:36 ±","8.77/0.02254","8.75/0.02247","14.81","14.81","750","25.5","3","APO*"
"(2016 SB)","2016-Sep-07 03:35 ±   00:04","15.80/0.04061","15.72/0.04040","14.46","14.46","1.26e+03","23.1","2","APO*"
"(2016 SF)","2016-Sep-07 05:25 ±   00:02","13.17/0.03385","13.10/0.03366","15.17","15.17","624","24.3","4","APO*"
"(2016 RD34)","2016-Sep-07 14:32 ±","2.57/0.00659","2.57/0.00659","1.44","1.12","5.73e+04","27.6","21","APO*"
"(2016 RB1)","2016-Sep-07 17:20 ±","0.11/0.00027","0.11/0.00027","8.13","6.81","2.87e+04","28.3","19","ATE*"
"(2016 RK40)","2016-Sep-07 23:01 ±   00:01","1.35/0.00346","1.34/0.00344","14.68","14.63","305","27.7","1","APO*"
"(2016 RO17)","2016-Sep-08 03:37 ±","2.29/0.00590","2.29/0.00589","16.01","15.98","1.79e+03","26.3","1","APO*"
"(2016 RQ17)","2016-Sep-08 08:55 ±","16.10/0.04136","16.03/0.04118","22.15","22.15","580","23.9","3","APO*"
"(2016 RM40)","2016-Sep-08 11:22 ±","6.14/0.01577","6.10/0.01569","23.17","23.16","451","24.7","2","APO*"
"(2016 RN20)","2016-Sep-08 16:57 ±   00:02","2.52/0.00647","2.51/0.00645","3.23","3.10","605","28.2","1","APO*"
"(2016 RO40)","2016-Sep-08 23:34 ±","15.57/0.04002","15.50/0.03982","14.83","14.82","449","24.5","2","APO*"
"(2016 RL17)","2016-Sep-09 04:16 ±","8.69/0.02233","8.67/0.02229","7.72","7.70","971","26.5","3","ATE*"
"(2016 RV1)","2016-Sep-09 07:46 ±","18.89/0.04855","18.84/0.04842","11.36","11.35","739","25.0","6","AMO*"
"(2016 RY17)","2016-Sep-09 18:01 ±","3.62/0.00930","3.62/0.00929","11.14","11.12","1.55e+03","25.3","1","APO*"
"(2016 QS44)","2016-Sep-10 05:03 ±","7.95/0.02044","7.89/0.02027","17.37","17.36","284","24.4","5","APO*"
"(2015 KE)","2016-Sep-10 08:25 ±","14.92/0.03833","14.92/0.03833","2.16","2.13","3.83e+04","26.2","18","ATE*"
"(2016 SF1)","2016-Sep-10 14:32 ±   00:03","1.33/0.00341","1.32/0.00340","8.59","8.50","631","24.7","9","APO*"
"(2016 RH17)","2016-Sep-11 00:49 ±","6.06/0.01557","6.02/0.01548","14.09","14.08","364","23.5","2","APO*"
"(2016 RE34)","2016-Sep-11 02:41 ±","1.19/0.00305","1.19/0.00305","4.85","4.67","1.74e+03","28.3","3","APO*"
"(2016 SC17)","2016-Sep-11 04:58 ±   00:05","4.57/0.01174","4.47/0.01148","8.52","8.50","82.5","25.4","4","APO*"
"(2016 RO20)","2016-Sep-11 12:48 ±","2.45/0.00630","2.45/0.00629","15.65","15.62","1.42e+03","27.2","1","APO*"
"(2016 RN41)","2016-Sep-11 14:56 ±","0.06/0.00016","0.06/0.00015","11.73","10.20","26.6","31.0","3","APO*"
"(2016 RP20)","2016-Sep-12 01:46 ±","11.98/0.03078","11.91/0.03060","9.87","9.86","324","25.6","2","APO*"
"(2016 RF34)","2016-Sep-12 15:31 ±","5.67/0.01457","5.66/0.01455","8.18","8.16","1.95e+03","24.4","5","APO*"
"(2016 SN3)","2016-Sep-12 17:08 ±   00:03","14.42/0.03705","14.31/0.03678","23.32","23.32","1.28e+03","23.3","3","APO*"
"(2016 LX48)","2016-Sep-12 20:55 ±","17.73/0.04555","17.73/0.04555","10.77","10.77","2.88e+07","19.3","98","APO*"
"(2016 RU33)","2016-Sep-16 01:14 ±","6.00/0.01542","5.99/0.01538","6.78","6.76","688","27.5","2","APO*"
"(2016 RT20)","2016-Sep-16 02:05 ±","15.68/0.04029","15.52/0.03988","17.64","17.64","227","24.4","1","ATE*"
"(2016 SS2)","2016-Sep-16 04:20 ±","12.50/0.03213","12.45/0.03200","8.18","8.17","562","25.2","4","AMO*"
"(2016 QL44)","2016-Sep-17 14:28 ±","3.61/0.00928","3.60/0.00925","13.75","13.73","636","25.1","8","APO*"
"(2016 QS11)","2016-Sep-18 05:19 ±","12.18/0.03129","12.18/0.03129","3.76","3.74","7.74e+03","25.8","24","AMO*"
"(2016 SK2)","2016-Sep-18 14:31 ±","5.47/0.01407","5.47/0.01406","13.98","13.97","3.22e+03","25.3","9","APO*"
"(2016 SP3)","2016-Sep-19 11:32 ±   00:01","2.55/0.00655","2.54/0.00652","8.96","8.92","484","27.9","2","APO*"
"(2016 RM20)","2016-Sep-20 10:29 ±","6.22/0.01598","6.18/0.01589","5.78","5.75","300","26.2","3","APO*"
"(2016 SJ)","2016-Sep-21 18:28 ±","0.39/0.00100","0.39/0.00100","13.70","13.51","1.27e+03","29.0","2","APO*"
"(2016 SY1)","2016-Sep-21 19:19 ±   00:05","3.31/0.00851","3.27/0.00841","15.42","15.40","242","26.4","1","APO*"
"(2015 DS53)","2016-Sep-22 01:22 ±","19.08/0.04904","19.08/0.04904","12.95","12.95","1.42e+05","24.2","12","APO*"
"(2016 SJ2)","2016-Sep-22 04:57 ±","4.83/0.01242","4.81/0.01236","10.98","10.96","458","26.5","1","APO*"
"(2016 TS)","2016-Sep-22 06:31 ±","5.61/0.01442","5.59/0.01437","7.56","7.54","560","25.4","3","APO*"
"(2016 TX18)","2016-Sep-22 06:51 ±   00:08","13.39/0.03441","13.01/0.03344","9.37","9.36","156","25.2","1","APO*"
"(2016 SU3)","2016-Sep-22 07:10 ±","15.21/0.03907","15.16/0.03896","8.17","8.16","606","25.3","3","APO*"
"(2016 SH2)","2016-Sep-22 18:55 ±","4.14/0.01064","4.13/0.01061","8.64","8.62","677","27.2","3","APO*"
"(2016 SJ35)","2016-Sep-24 07:30 ±","1.69/0.00434","1.69/0.00434","12.18","12.13","1.36e+04","24.6","12","APO*"
"(2016 SU2)","2016-Sep-24 19:07 ±","0.91/0.00235","0.91/0.00234","12.86","12.77","1.56e+03","27.6","7","ATE*"
"(2016 SA2)","2016-Sep-25 07:12 ±","0.80/0.00205","0.80/0.00205","5.47","5.23","5.06e+03","28.2","11","APO*"
"(2016 TR2)","2016-Sep-25 07:17 ±   00:39","6.74/0.01732","6.55/0.01683","8.70","8.69","76.9","26.3","1","APO*"
"(2016 SC)","2016-Sep-25 10:57 ±","3.08/0.00792","3.08/0.00792","5.35","5.28","2.84e+03","27.6","4","APO*"
"(2016 RL20)","2016-Sep-25 18:23 ±","18.17/0.04670","18.13/0.04659","15.32","15.32","954","23.5","8","APO*"
"(2016 SW3)","2016-Sep-26 04:51 ±","1.00/0.00257","1.00/0.00257","10.33","10.23","2.5e+03","28.3","1","APO*"
"(2016 RH40)","2016-Sep-26 06:43 ±","18.78/0.04826","18.68/0.04801","9.35","9.35","370","24.3","8","APO*"
"(2016 TL10)","2016-Sep-26 08:55 ±   00:01","9.51/0.02443","9.45/0.02429","5.42","5.40","290","27.3","1","ATE*"
"(2016 SX1)","2016-Sep-26 15:47 ±","2.18/0.00560","2.18/0.00560","2.82","2.64","8.21e+03","28.6","10","ATE*"
"(2016 TJ)","2016-Sep-26 16:03 ±","17.84/0.04584","17.69/0.04546","14.48","14.47","399","24.8","3","APO*"
"(2016 TN18)","2016-Sep-26 17:57 ±","17.90/0.04599","17.87/0.04592","9.20","9.19","2.82e+03","24.3","9","APO*"
"(2016 TP11)","2016-Sep-27 03:22 ±","9.98/0.02563","9.97/0.02562","5.11","5.09","2.61e+03","24.3","16","APO*"
"(2016 TW10)","2016-Sep-27 03:43 ±","6.38/0.01638","6.36/0.01635","12.47","12.46","1.17e+03","23.4","5","APO*"
"(2016 SG)","2016-Sep-27 04:34 ±","2.34/0.00602","2.34/0.00601","15.79","15.76","1e+03","26.6","5","APO*"
"(2016 TT)","2016-Sep-27 10:22 ±","4.35/0.01118","4.35/0.01117","11.91","11.89","6.02e+03","26.0","11","APO*"
"(2016 SW1)","2016-Sep-28 02:00 ±","1.34/0.00344","1.34/0.00344","5.48","5.34","3.88e+03","28.5","4","APO*"
"(2016 TV19)","2016-Sep-28 12:08 ±   00:27","7.23/0.01858","7.18/0.01845","10.77","10.76","285","25.9","1","APO*"
"(2016 SL2)","2016-Sep-29 10:00 ±","2.38/0.00612","2.37/0.00610","24.12","24.10","1.03e+03","25.4","2","APO*"
"(2016 TM)","2016-Sep-29 13:21 ±","3.42/0.00879","3.42/0.00879","4.60","4.53","2.35e+03","27.5","14","APO*"
"(2016 SZ1)","2016-Sep-29 16:47 ±","6.12/0.01573","6.11/0.01570","10.89","10.87","1.1e+03","26.3","3","APO*"
"(2009 UG)","2016-Sep-29 21:40 ±","6.36/0.01634","6.36/0.01634","8.98","8.97","2.5e+05","23.4","20","ATE*"
"(2015 SO2)","2016-Sep-30 00:22 ±","17.38/0.04465","17.38/0.04465","6.08","6.07","3.39e+04","23.9","17","ATE*"
"(2016 TD)","2016-Sep-30 17:15 ±","0.59/0.00151","0.59/0.00151","13.82","13.69","2.45e+03","28.1","2","APO*"
"(2016 TB11)","2016-Oct-01 02:41 ±","10.40/0.02673","10.34/0.02656","11.86","11.85","327","25.2","1","APO*"
"(2016 TU93)","2016-Oct-01 16:48 ±","9.57/0.02458","9.51/0.02443","10.44","10.43","324","26.3","1","APO*"
"(2016 TA)","2016-Oct-02 06:28 ±","2.30/0.00591","2.30/0.00591","31.99","31.98","1.78e+03","26.3","2","APO*"
"(2016 TQ54)","2016-Oct-02 11:33 ±","2.50/0.00644","2.48/0.00636","8.80","8.75","168","27.2","1","ATE*"
"(2016 TQ18)","2016-Oct-02 12:32 ±","12.50/0.03212","12.49/0.03208","9.72","9.71","2.36e+03","26.4","6","APO*"
"(2016 TQ2)","2016-Oct-02 16:45 ±","3.33/0.00854","3.32/0.00853","15.33","15.31","1.88e+03","26.4","7","APO*"
"(2016 SH35)","2016-Oct-02 18:24 ±","17.44/0.04482","17.41/0.04473","5.57","5.56","826","24.9","9","APO*"
"(2016 TF)","2016-Oct-02 23:10 ±","11.48/0.02951","11.46/0.02946","11.57","11.57","1.1e+03","25.7","4","APO*"
"(2016 TK10)","2016-Oct-03 06:31 ±","3.02/0.00777","3.02/0.00776","9.06","9.02","1.3e+03","26.3","6","APO*"
"(2016 TH)","2016-Oct-03 16:30 ±","0.33/0.00086","0.33/0.00086","7.80","7.39","4.37e+03","29.4","2","APO*"
"(2016 TU)","2016-Oct-03 21:08 ±","4.69/0.01204","4.68/0.01202","17.97","17.96","1.16e+03","27.2","3","APO*"
"(2016 TS2)","2016-Oct-04 02:06 ±","6.94/0.01784","6.93/0.01780","6.92","6.90","747","26.5","2","APO*"
"(2016 TT55)","2016-Oct-04 07:51 ±","12.03/0.03092","11.95/0.03070","9.30","9.29","256","25.9","5","APO*"
"(2016 TJ17)","2016-Oct-04 18:15 ±","1.22/0.00314","1.22/0.00313","16.10","16.04","1.38e+03","25.4","7","APO*"
"(2016 TQ56)","2016-Oct-05 18:13 ±","12.91/0.03317","12.87/0.03308","10.11","10.11","668","24.0","8","APO*"
"462959 (2011 DU)","2016-Oct-06 20:30 ±","15.16/0.03896","15.16/0.03896","8.72","8.71","1.21e+07","21.0","80","APO*"
"(2016 TP2)","2016-Oct-06 20:51 ±","2.21/0.00568","2.21/0.00567","14.69","14.66","1.61e+03","26.6","4","APO*"
"(2016 TM10)","2016-Oct-06 21:56 ±","6.78/0.01742","6.74/0.01733","20.29","20.28","461","26.3","2","APO*"
"(2016 TT92)","2016-Oct-07 04:25 ±","7.37/0.01893","7.36/0.01892","8.21","8.19","3.41e+03","26.3","9","APO*"
"(2016 SR2)","2016-Oct-07 08:00 ±","3.77/0.00970","3.77/0.00969","5.71","5.67","2.9e+03","26.2","11","APO*"
"(2016 TO18)","2016-Oct-07 10:25 ±","9.75/0.02506","9.72/0.02498","12.35","12.34","629","25.7","4","APO*"
"(2016 TG)","2016-Oct-07 13:50 ±","8.08/0.02076","8.05/0.02069","14.68","14.67","669","25.4","5","APO*"
"(2016 TX10)","2016-Oct-07 22:23 ±","5.21/0.01339","5.19/0.01334","15.04","15.03","590","25.7","2","APO*"
"(2016 TG94)","2016-Oct-08 01:33 ±","0.56/0.00145","0.56/0.00144","8.99","8.78","548","29.7","1","APO*"
"(2016 TC)","2016-Oct-08 15:07 ±","7.22/0.01854","7.18/0.01844","10.20","10.18","353","25.9","3","APO*"
